NO	CPA1	CPA2	CPA3	CPA4	RA1	RA2	RA3	RA4	RA5	CPL1	CPL2	CPL3	TRI1	TRI2	TRI3	OBS1	OBS2	OBS3	ATT1	ATT2	ATT3	INT1	INT2	INT3	INT4	SEX	AGE	EDUC	INCOME	STATUS
232	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
233	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Totally agree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
234	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Neutral	More or less agree	Totally agree	Neutral	More or less disagree	Neutral	Totally agree	Totally agree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Totally agree	More or less agree	More or less agree	Totally agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
235	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	More or less disagree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Male	26-28 years old	College diploma	< 10,000,000 VND	Single
236	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Neutral	More or less agree	Totally agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Totally agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	Totally agree	Male	26-28 years old	College diploma	< 10,000,000 VND	Single
237	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	More or less agree	Neutral	More or less agree	Totally agree	Disagree	Neutral	More or less disagree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
238	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
239	Totally agree	Totally agree	More or less agree	Neutral	Totally agree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
240	More or less agree	Totally agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	More or less disagree	Totally agree	More or less agree	Neutral	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
241	Totally agree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Totally agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	Female	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
242	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Totally agree	Neutral	More or less agree	Disagree	Neutral	More or less disagree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	College diploma	< 10,000,000 VND	Single
243	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Agree	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
244	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
245	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
246	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	Neutral	Neutral	Totally agree	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	College diploma	< 10,000,000 VND	Single
247	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Totally agree	More or less agree	Neutral	Neutral	Disagree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
248	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
249	Neutral	More or less agree	Neutral	Neutral	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Female	26-28 years old	Professional certificate	< 10,000,000 VND	Married
250	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
251	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	More or less disagree	Neutral	Female	26-28 years old	College diploma	< 10,000,000 VND	Single
252	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less disagree	Neutral	Neutral	Totally agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Female	26-28 years old	Professional certificate	< 10,000,000 VND	Married
253	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Female	23-25 years old	Professional certificate	< 10,000,000 VND	Married
254	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	Agree	Agree	Agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
255	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Totally agree	Neutral	Neutral	More or less disagree	Female	26-28 years old	Professional certificate	< 10,000,000 VND	Married
256	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
257	Neutral	Neutral	Neutral	Neutral	Totally agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Totally agree	Totally agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
258	Neutral	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
259	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
260	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Totally agree	Neutral	More or less disagree	More or less agree	More or less disagree	More or less disagree	Neutral	Totally disagree	Neutral	Neutral	More or less agree	Neutral	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
261	More or less disagree	Neutral	More or less disagree	More or less disagree	Agree	More or less agree	Agree	Agree	Agree	More or less disagree	More or less disagree	Disagree	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
262	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	Totally agree	Neutral	Neutral	Neutral	Totally agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
263	More or less agree	More or less agree	More or less agree	More or less agree	Disagree	Disagree	Disagree	Disagree	Disagree	Neutral	More or less agree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	Neutral	Female	23-25 years old	High school or lesser	< 10,000,000 VND	Single
264	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
265	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
266	Neutral	Neutral	Neutral	More or less disagree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less disagree	Neutral	Disagree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Female	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
267	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Totally agree	Totally agree	Totally agree	Totally agree	Female	23-25 years old	Professional certificate	< 10,000,000 VND	Married
268	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Totally agree	More or less agree	More or less agree	More or less agree	Female	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
269	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Totally agree	Agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
270	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less disagree	Neutral	Neutral	Totally agree	More or less agree	Totally agree	Neutral	Neutral	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
271	Totally agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less disagree	More or less disagree	More or less disagree	Totally agree	Totally agree	Totally agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Female	23-25 years old	College diploma	< 10,000,000 VND	Single
272	More or less agree	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less disagree	Neutral	More or less disagree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	Professional certificate	< 10,000,000 VND	Married
273	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Agree	Agree	Agree	Neutral	Neutral	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
274	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	Agree	Agree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
275	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Agree	Agree	Agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Agree	Agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	High school or lesser	< 10,000,000 VND	Married
276	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Totally agree	More or less agree	Neutral	Neutral	Neutral	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
277	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less disagree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Female	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
278	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Totally disagree	More or less disagree	Agree	Agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
279	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	Totally agree	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
280	Neutral	Neutral	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Totally agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
281	More or less agree	Totally agree	Totally agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	Totally agree	More or less disagree	More or less disagree	Disagree	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Female	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
282	More or less agree	Totally agree	Totally agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	More or less disagree	Neutral	More or less disagree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
283	Totally agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Agree	Agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	College diploma	< 10,000,000 VND	Single
284	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Disagree	Totally disagree	Disagree	Neutral	Neutral	Totally agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Totally agree	Totally agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
285	Agree	Agree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Female	26-28 years old	College diploma	< 10,000,000 VND	Single
286	Totally agree	More or less agree	Totally agree	Totally agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	Totally agree	Totally agree	Agree	More or less agree	More or less agree	Neutral	More or less disagree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
287	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Agree	Agree	Agree	Totally agree	More or less disagree	More or less disagree	More or less disagree	Totally agree	Totally agree	Totally agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
288	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Disagree	Disagree	Disagree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	College diploma	< 10,000,000 VND	Single
289	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Totally agree	Totally agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
290	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	> 40,000,000 VND	Married
291	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Totally agree	More or less agree	Totally agree	More or less agree	Totally agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
292	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Totally agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Female	26-28 years old	Professional certificate	< 10,000,000 VND	Married
293	Neutral	More or less disagree	More or less agree	More or less disagree	Disagree	Disagree	Disagree	Disagree	More or less disagree	Totally disagree	Totally disagree	Disagree	Disagree	Disagree	Totally disagree	Disagree	Disagree	Disagree	Totally disagree	More or less disagree	Totally disagree	Neutral	Neutral	Neutral	Neutral	Male	26-28 years old	College diploma	< 10,000,000 VND	Single
294	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Agree	Neutral	Neutral	Totally disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Male	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
295	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Disagree	Neutral	Disagree	More or less disagree	Neutral	More or less agree	Agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
296	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
297	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Male	26-28 years old	Postgraduate degree	> 40,000,000 VND	Married
298	Agree	Agree	Agree	Agree	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
299	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
300	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	Disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
301	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
302	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less disagree	More or less agree	Neutral	Neutral	Neutral	Disagree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	Male	26-28 years old	Professional certificate	< 10,000,000 VND	Married
303	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Totally agree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
304	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	Disagree	Disagree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
305	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	Disagree	More or less disagree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
306	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
307	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	More or less disagree	Neutral	Disagree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
